weaponid,r1,r2,r3,r4,r5
1,"For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.12 A maximum of 40 increased Elemental Burst DMG can be achieved this way.","For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.15 A maximum of 50 increased Elemental Burst DMG can be achieved this way.","For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.18 A maximum of 60 increased Elemental Burst DMG can be achieved this way.","For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.21 A maximum of 70 increased Elemental Burst DMG can be achieved this way.","For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.24% A maximum of 80% increased Elemental Burst DMG can be achieved this way."
2,"Every 4s a character is on the field, their ATK increases by 4 and their CRIT DMG increases by 4 This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be cleared when the character takes DMG.","Every 4s a character is on the field, their ATK increases by 5 and their CRIT DMG increases by 5 This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be cleared when the character takes DMG.","Every 4s a character is on the field, their ATK increases by 6 and their CRIT DMG increases by 6 This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be cleared when the character takes DMG.","Every 4s a character is on the field, their ATK increases by 7 and their CRIT DMG increases by 7 This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be cleared when the character takes DMG.","Every 4s a character is on the field, their ATK increases by 8% and their CRIT DMG increases by 8% This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be cleared when the character takes DMG."
3,"Normal Attack hits increase all Elemental DMG by 6 for 6s. Max 2 stacks.","Normal Attack hits increase all Elemental DMG by 7.5 for 6s. Max 2 stacks.","Normal Attack hits increase all Elemental DMG by 9 for 6s. Max 2 stacks.","Normal Attack hits increase all Elemental DMG by 10.5 for 6s. Max 2 stacks.","Normal Attack hits increase all Elemental DMG by 12% for 6s. Max 2 stacks."
4,"After casting an Elemental Skill, gain 1 Succession Seed. This effect can be triggered once every 5s. The Succession Seed lasts for 30s. Up to 3 Succession Seeds may exist simultaneously. After using an Elemental Burst, all Succession Seeds are consumed and after 2s, the character regenerates 6 Energy for each seed consumed.","After casting an Elemental Skill, gain 1 Succession Seed. This effect can be triggered once every 5s. The Succession Seed lasts for 30s. Up to 3 Succession Seeds may exist simultaneously. After using an Elemental Burst, all Succession Seeds are consumed and after 2s, the character regenerates 7.5 Energy for each seed consumed.","After casting an Elemental Skill, gain 1 Succession Seed. This effect can be triggered once every 5s. The Succession Seed lasts for 30s. Up to 3 Succession Seeds may exist simultaneously. After using an Elemental Burst, all Succession Seeds are consumed and after 2s, the character regenerates 9 Energy for each seed consumed.","After casting an Elemental Skill, gain 1 Succession Seed. This effect can be triggered once every 5s. The Succession Seed lasts for 30s. Up to 3 Succession Seeds may exist simultaneously. After using an Elemental Burst, all Succession Seeds are consumed and after 2s, the character regenerates 10.5 Energy for each seed consumed.","After casting an Elemental Skill, gain 1 Succession Seed. This effect can be triggered once every 5s. The Succession Seed lasts for 30s. Up to 3 Succession Seeds may exist simultaneously. After using an Elemental Burst, all Succession Seeds are consumed and after 2s, the character regenerates 12 Energy for each seed consumed."
5,"Increases Normal Attack and Aimed Shot DMG by 12 Increases DMG from arrows shot by a further 8 for every 0.1s that the arrow is in flight, up to 0.5s. Stacks up to 5 times on each arrow.","Increases Normal Attack and Aimed Shot DMG by 15 Increases DMG from arrows shot by a further 10 for every 0.1s that the arrow is in flight, up to 0.5s. Stacks up to 5 times on each arrow.","Increases Normal Attack and Aimed Shot DMG by 18 Increases DMG from arrows shot by a further 12 for every 0.1s that the arrow is in flight, up to 0.5s. Stacks up to 5 times on each arrow.","Increases Normal Attack and Aimed Shot DMG by 21 Increases DMG from arrows shot by a further 14 for every 0.1s that the arrow is in flight, up to 0.5s. Stacks up to 5 times on each arrow.","Increases Normal Attack and Aimed Shot DMG by 24% Increases DMG from arrows shot by a further 16% for every 0.1s that the arrow is in flight, up to 0.5s. Stacks up to 5 times on each arrow."
6,,,,,
7,"ATK is increased by 20 Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of the resistance aloft, regenerating HP equal to 100 of ATK and dealing 200 of ATK as DMG to surrounding enemies. This effect can only occur once every 15s.","ATK is increased by 25 Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of the resistance aloft, regenerating HP equal to 115 of ATK and dealing 230 of ATK as DMG to surrounding enemies. This effect can only occur once every 15s.","ATK is increased by 30 Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of the resistance aloft, regenerating HP equal to 130 of ATK and dealing 260 of ATK as DMG to surrounding enemies. This effect can only occur once every 15s.","ATK is increased by 35 Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of the resistance aloft, regenerating HP equal to 145 of ATK and dealing 290 of ATK as DMG to surrounding enemies. This effect can only occur once every 15s.","ATK is increased by 40% Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of the resistance aloft, regenerating HP equal to 160% of ATK and dealing 320% of ATK as DMG to surrounding enemies. This effect can only occur once every 15s."
8,,,,,
9,"Increases DMG against slimes by 40/50/60/70/80%.","Increases DMG against slimes by 40/50/60/70/80%.","Increases DMG against slimes by 40/50/60/70/80%.","Increases DMG against slimes by 40/50/60/70/80%.","Increases DMG against slimes by 40/50/60/70/80%."
10,"After defeating an enemy, ATK is increased by 12 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 15 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 18 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 21 for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","After defeating an enemy, ATK is increased by 24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
